name,latitude,longitude,website,categories,sub categories,emails,address_city,phone,address,address_region_1,address_country,opening hours,price level,reviews,rating
Best Way Pizza,40.178833,-78.6106398,http://www.bestwaypizza.com/,restaurant|food,pizza restaurant|Pizza|fast food container|pizzas|western food,"[""bestwaypizza@bestwaypizza.com""]",Pleasantville,+1 814-401-1046,"4204 Quaker Valley Rd, Alum Bank, PA 15521, USA",Pennsylvania,United States,Monday: 11:00 AM � 10:00 PM|Tuesday: 11:00 AM � 10:00 PM|Wednesday: 11:00 AM � 10:00 PM|Thursday: 11:00 AM � 10:00 PM|Friday: 11:00 AM � 11:00 PM|Saturday: 11:00 AM � 11:00 PM|Sunday: 11:00 AM � 10:00 PM,,"[""Good good staff pleasant quick service "", ""Good pizza but the deals only come with pepperoni. Can't get just cheese. Otherwise just order your own personal pizza"", ""Pizza wasn't bad. Prices okay. "", ""Great pizza, clean environment and friendly staff. "", ""Clean environment, great service and personalities from employees, good food, love the squarebolis full of flavor n the flatbreads are delicious, I like how u can make your own (flatbreads)... Deff will visit again...""]",4.3
O&M Halal,40.0304544,-75.1654369,http://omhalal.com/,restaurant|food,pizza restaurant|Pizza|fast food container|pizzas|western food,[],Philadelphia,+1 215-438-0453,"5101 Germantown Ave, Philadelphia, PA 19144, USA",Pennsylvania,United States,Monday: 9:00 AM � 9:00 PM|Tuesday: 9:00 AM � 9:00 PM|Wednesday: 9:00 AM � 9:00 PM|Thursday: 9:00 AM � 9:00 PM|Friday: 9:00 AM � 10:00 PM|Saturday: 9:00 AM � 10:00 PM|Sunday: Closed,,"[""""]",4
Franky Bradley's,39.9484936,-75.1631112,http://www.frankybradleys.com/,night club|bar|restaurant|food,american restaurant|American|bar|bars and pubs|dancing|discos and night clubs|live music venue|night club|western food,"[""contact@frankybradleys.com"", ""becca@frankybradleys.com""]",Philadelphia,+1 215-735-0735,"1320 Chancellor St, Philadelphia, PA 19107, USA",Pennsylvania,United States,Monday: 5:00 PM � 2:00 AM|Tuesday: 5:00 PM � 2:00 AM|Wednesday: 5:00 PM � 2:00 AM|Thursday: 5:00 PM � 2:00 AM|Friday: 5:00 PM � 2:00 AM|Saturday: 12:00 PM � 2:00 AM|Sunday: 12:00 PM � 2:00 AM,2,"[""I've only been here once for a night with some friends, but I had a great time dancing on the second floor. Great lighting and music. The DJ did a great job of beatmixing the music. The bartenders I dealt with were nice. Prices are the usual. For example, $7 for rum and coke."", ""tommy makes some amazing custom drinks to your liking!  the vibe is cool and laidback. awesome art on the walls and in the bathrooms. dance floor upstairs for weekends."", ""One of my favorite bars. Upstairs is too loud but the downstairs is perfect. Great selection of drinks and a cool vibe. Lot of great people to meet there."", ""Outstanding food,  service and environment then great music and dancing upstairs afterwards.   
We showed up with a large group for my wife's 30th bday and they accommodated us right away.  We ordered a ton of apps, all of which were delicious!
Their baked mac not cheese, short rib potato skins and buffalo wings are some of the nest I've ever had!  
This establishment has it all for a celebration and a good time!"", ""This place is so much fun, cool chill bar downstairs and everyone dancing upstairs. I wouldn't go until like 11 as it gets busy late night but been there a couple times a and is becoming one of my favorite Philly bars. Check it out""]",4.2
JA Buffet,40.56171,-76.010519,http://jabuffet.webs.com/apps/location/,restaurant|food,buffet restaurant|restaurant,[],Hamburg,+1 610-562-5828,"1752 Tilden Ridge Dr, Hamburg, PA 19526, USA",Pennsylvania,United States,Monday: 11:30 AM � 10:00 PM|Tuesday: 11:30 AM � 10:00 PM|Wednesday: 11:30 AM � 10:00 PM|Thursday: 11:30 AM � 10:00 PM|Friday: 11:30 AM � 11:00 PM|Saturday: 11:00 AM � 11:00 PM|Sunday: 11:00 AM � 10:00 PM,,"[""The food is horrible and not worth the price. This is the fourth time we ate there and the food keeps on going downhill. This sushi is not good and if they see you taking a few pieces of salmon sushi, they remove it so when you come back it's gone. Employees act like they don't understand English so you can't ask them for anything. The food is not fresh, seems like a lot of food but it is not fresh or tasty. Owner acts like a cafeteria monitor.  She monitor the food you take and if you don't eat it she make nasty comments and is confrontational? Why make it a buffet style restaurant if she is going to monitor what people eat? I told her the food tastes  horrible. She was so rude and nasty to us that we would never go back not to mention overpriced for the quality of food."", ""The food wasn't bad per say, BUT the people working there are very rude and the minimum charge for a card is 12.00.  I hardly ever carry cash.  When I handed her my card she got very assaultive verbally saying 12 dollar, 12 dollar.  So I told her I don't have cash so then she attempted to sell me 4 sodas to make up the difference.  Complete BS.  I ended up leaving a 4 dollar tip and then she asked me if this was my first time there I said yes and it will be last and o have never been back.  These people are completely full themselves and this place won't be around long.  My advice take the drive to reading and go to Jumbo China on the fifth Street high way you won't be disappointed"", ""Avoid eating at this restaurant!! The food is absolutely terrible.  There are several health violatons including raw shellfish placed in the same cold bar as dessert puddings (the raw oysters were right next to the pudding with potential for contamination), hot food served below safe holding temperatures. 

The restaurant is dirty and not very clean. Sushi bar items are dried out and not held at the proper cold temperature. 

Cashier was unfriendly and did not ask if we enjoyed our meal. The employees are very unhappy and rude.  Miserable employees and poor food so not justify the overpriced experience you receive here."", ""The prices are high for what you get.  There seems to be a strange red sauce on everything.  I've been here twice and I'll never go back.  Leave your Discover Card at home because they would not accept it.  I would rather drive the forty miles to Bethlehem to get great Chinese buffet.  Forget the JA Buffets. Not worth it."", ""Great buffet @ good price. Always stop for lunch & has enough to select from. You don't walk away hungry.""]",2.8
The Bourbon Barrel,42.123122,-80.0804767,http://www.bourbonbarrelerie.com/,restaurant|food,american restaurant|American|western food,"[""info@bourbonbarrelerie.com""]",Erie,+1 814-452-3000,"1213 State St, Erie, PA 16501, USA",Pennsylvania,United States,Monday: Closed|Tuesday: Closed|Wednesday: 5:00 PM � 12:00 AM|Thursday: 5:00 PM � 2:00 AM|Friday: 5:00 PM � 2:00 AM|Saturday: 5:00 PM � 2:00 AM|Sunday: Closed,,"[""The food was nothing special at all. The bourbon selection, however, was glorious. I love bourbon, so being able to try so many that I'd never find in the liquor store was great. Don't come here just for the food, come for the booze. "", ""Gorgeous rustic atmosphere! I wouldn't go anywhere else for a Kentucky Mule. They have great food, pleasant servers/bartenders. The bull rides are awesome and I catch the live music nights as much as possible. Have been to several parties hosted here which are always a fun time especially when decorated for the holidays. And hands down the best Halloween party in all of erie!"", ""Was served undercooked pizza. The pizza was literally cold in the center. Ordered another pizza and it came with mushrooms. No mushrooms mentioned on the menu. At least that pizza wasnt completely undercooked. Was charged for both and I only ate one slice since I hate mushrooms. I will never go back. I wasn't even issue an apology."", ""I think the dance area was too small for the number of people that wanted to dance. The staff did a good job of keeping up with the demand but I left early when the drinks started spilling on the dance floor."", ""This is a terrific place to gather with people you enjoy being with. My sibs and I were here in February for a birthday celebration.  We loved it. I wanted to take my husband and we did that for MY birthday. He loved it too. The bourbon flights are a great way to figure out your bourbon of choice. So, after having tested it out twice we will be bringing our friends. Also, the wait staff were very friendly and welcoming.""]",3.5
Dunkin' Donuts,40.0486618,-75.4144866,https://www.dunkindonuts.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=338381,bakery|cafe|restaurant|food|store,donut shop|bagel shop|baked goods store|bakeries and patisseries|bakery|breakfast restaurant|coffe container|coffee|coffee shop|espresso bar|fast food container|fast food restaurant|Fast Food|food products|pastry shop|sandwich shop|Sandwich|sweets|tea and coffee merchant,[],Devon,+1 610-688-8554,"891 W Lancaster Ave, Devon, PA 19333, USA",Pennsylvania,United States,Monday: 5:00 AM � 9:00 PM|Tuesday: 5:00 AM � 9:00 PM|Wednesday: 5:00 AM � 9:00 PM|Thursday: 5:00 AM � 9:00 PM|Friday: 5:00 AM � 9:00 PM|Saturday: 5:00 AM � 8:00 PM|Sunday: 5:00 AM � 9:00 PM,1,"[""This DD, the coffee tastes different than my favorite DD coffee. I dont know why but it is the closest one from my home."", ""Love their donuts and the selection "", ""The gas station is open 24 hours, but the Dunkin Donuts attached inside the mart is not"", ""I love dunkin donuts"", """"]",3.3
Dairy Queen Store,41.2621969,-95.8969,http://www.dairyqueen.com/,restaurant|food,fast food restaurant|Fast Food|fast food container,[],Council Bluffs,+1 712-322-3424,"3210 W Broadway, Council Bluffs, IA 51501, USA",Iowa,United States,Monday: 10:30 AM � 8:00 PM|Tuesday: 10:30 AM � 8:00 PM|Wednesday: 10:30 AM � 8:00 PM|Thursday: 10:30 AM � 8:00 PM|Friday: 10:30 AM � 8:00 PM|Saturday: 10:30 AM � 8:00 PM|Sunday: 10:30 AM � 8:00 PM,1,"[""This place is hit-or-miss. Sometimes the ice cream is well-prepared and sometimes it's not. The food is usually good and it's nice that they have a slightly different menu, being a franchise location. Not nice is the fee to use credit cards, which might actually be against the terms of the credit agreement. 

Anyway, this location is often busy, just like the one in Manawa, though usually slightly less so. 

Could be better, could be worse solid 3 star DQ. "", ""Well I've went there twice in the last week and both times got a large cookie dough Blizzard. And both times there is hardly any cookie dough in it at all????? Plus they don't have the hot bakes or any of the specialty items like all the other """"real"""" DQ's. Place sucks in my opinion"", ""Used to my favorite but gone downhill since ownership changed, not a corporate dairy queen. Won't honor most national promotions."", ""Place is a good place. There is normally a wait here and plus it's on broadway."", ""Usually a pretty good experience, but the last time we were there they were out of vanilla ice cream. I'm assuming it was due to the winter months approaching. Could use a little remodeling in and outside tho..""]",2.7
The Brown Bottle,42.493975,-92.338627,http://www.brownbottlewaterloo.com/,restaurant|food,italian restaurant|Italian|restaurant|western food,"[""waterloobrownbottle@gmail.com""]",Waterloo,+1 319-232-3014,"209 W 5th St, Waterloo, IA 50701, USA",Iowa,United States,Monday: 4:00 � 9:00 PM|Tuesday: 4:00 � 9:00 PM|Wednesday: 4:00 � 9:00 PM|Thursday: 4:00 � 9:00 PM|Friday: 4:00 � 10:00 PM|Saturday: 4:00 � 10:00 PM|Sunday: 4:00 � 9:00 PM,2,"[""I think this is my favorite atmosphere of any restaurant in Waterloo/Cedar Falls. So cozy and cool. Foods always great and so is the service. "", ""This is our go to date night. Lasagna is our favorite! Definitely recommend."", ""My favorite place to eat. Atmosphere, service and food were phenomenal, like always!!!"", ""I had spaghetti here and it tasted like something I could have made at home. But the reason why this doesn't have 3 stars is because the garlic bread is to die for. Good job Brown Bottle!"", ""2nd visit 1st was a 2 star as well. Wait staff was slow with every part of the meal. Spinach and artichoke dip was awesome. Salads were ok. Seafood lasagna had SO MUCH BUTTER I was able to pour it out and fill up an entire plate. Waiter was kind enough to replace meal with another option the Shrimp in butter sauce (her recommendation said it was popular). It was a HUGE plate of plain fettuccine noodles with dill and over cooked shrimp. Didn't even take it home. What a waste of money. Way over priced. Cheap ingredients and terrible cooking. Went because we had a gift card.""]",4.1
The Prairie Soup Company,41.975598,-91.6658507,http://www.prairiesoup.com/,cafe|meal takeaway|restaurant|food|store,soup restaurant|Soup|cafe|coffe container|coffee|coffee shop|fast food container|fast food restaurant|Fast Food|meal takeaway|restaurant|sandwich shop|Sandwich|tea and coffee merchant,"[""catering@prairiesoup.com"", ""info@prairiesoup.com""]",Cedar Rapids,+1 319-362-0972,"425 2nd St SE, Cedar Rapids, IA 52401, USA",Iowa,United States,Monday: 7:00 AM � 4:00 PM|Tuesday: 7:00 AM � 4:00 PM|Wednesday: 7:00 AM � 4:00 PM|Thursday: 7:00 AM � 4:00 PM|Friday: 7:00 AM � 4:00 PM|Saturday: Closed|Sunday: Closed,,"[""The homemade chicken noodle soup is better than what mom used to make. The meatball panini is an explosion of fantastic flavors. Highly recommend!"", ""A touch pricey ($10 for soup & half sandwich), but still yummy."", ""Wonderful staff and food beyond expectations.  Huge portions and enough did to ensure you don't go hungry.  But all of this is dwarfed by the amazing view.  Definitely a restaurant to enjoy"", ""I love their soup, but they can't seem to figure out keeping their online menu updated as to what they are serving that day, and also they had run out of all but two soups when I got there. Oh, well, I do like chicken noodle, but I was hoping for something I don't make at home. "", ""Very good lunch spot. Mix of soups, salads, sandwiches, and wraps. It does tend to get pretty busy around 12p, but slows down closer to 1p.""]",4.4
P's Pizza House,42.9984768,-96.0472491,http://www.pspizzahouse.com/,restaurant|food,pizza restaurant|Pizza|fast food container|pizzas|western food,"[""info@pspizzahouse.com""]",Orange City,+1 712-737-9077,"723 8th St SE, Orange City, IA 51041, USA",Iowa,United States,Monday: 3:00 PM � 12:00 AM|Tuesday: 3:00 PM � 12:00 AM|Wednesday: 3:00 PM � 12:00 AM|Thursday: 3:00 PM � 12:00 AM|Friday: 11:00 AM � 1:00 AM|Saturday: 11:00 AM � 1:00 AM|Sunday: Closed,,"[""Good place to come after work. With a good beer selection and some rather interesting (in a good way) pizzas it's a nice place to gather with friends. They offer 32oz pitcher-esque beers that can be as cheap as $5 during happy hour. In terms of food quality everything I've had so far has been quite tasty. There are a few naturally vegetarian options (I loved the southwest flatbread) plus the standard fried fare you can expect in a Midwest restaurant. There are daily specials Monday through Friday as well. Atmosphere is casual and the building feels modern in terms of decor. Plenty of screens showing various sports and a full bar."", ""Tall browned haired waitress, didn't get her name was kinda rude and forgot our child's food, we all got our food but my child's food was forgotten, she tried to just give us my child's drink for free which she didn't get on time ether and her food was barely warm. And if she forgot just admit it, don't blame the kitchen if it was your fault and I don't think I should have paid the 5$ for her meal because someone didn't do their job. Plus how can someone suggest the best plate for a child then forget to make it???

 But mistakes are made and I do understand just be truthful would have helped or bring your manager to come talk to us. 

It was my first time here and I wanted a pleasant time for my mom's birthday. I am a server bar tender my self, but a key to serving is be good to parents but be the best with children. I would tipped quite a bit if my child was better served. Food was good, drinks where good and filled on time.

I hope to give this place a better review next time if I decide to go back."", ""Awesome pizza!!  We had the """"own the pig"""" pizza, bone in wings, and the cookie skillet sundae.  So much food!!  The craft beer selection was good and the service very friendly.  Great place to get something unique."", ""Only place in town like it, good size pizza for the price, nice drink options"", ""Always great food!  Service is good and always trying to get better.  Great place to relax!""]",3.9
