name,latitude,longitude,website,categories,sub categories,emails,address_city,phone,address,address_region_1,address_country,opening hours,price_level,rating,burgersales,pizzasales,sodasales
Franky Bradley's,39.9484936,-75.1631112,http://www.frankybradleys.com/,night club|bar|restaurant|food,american restaurant|American|bar|bars and pubs|dancing|discos and night clubs|live music venue|night club|western food,"[""contact@frankybradleys.com"", ""becca@frankybradleys.com""]",Philadelphia,+1 215-735-0735,"1320 Chancellor St, Philadelphia, PA 19107, USA",Pennsylvania,United States,Monday: 5:00 PM ? 2:00 AM|Tuesday: 5:00 PM ? 2:00 AM|Wednesday: 5:00 PM ? 2:00 AM|Thursday: 5:00 PM ? 2:00 AM|Friday: 5:00 PM ? 2:00 AM|Saturday: 12:00 PM ? 2:00 AM|Sunday: 12:00 PM ? 2:00 AM,2,4.2,58,37,71
JA Buffet,40.56171,-76.010519,http://jabuffet.webs.com/apps/location/,restaurant|food,buffet restaurant|restaurant,[],Hamburg,+1 610-562-5828,"1752 Tilden Ridge Dr, Hamburg, PA 19526, USA",Pennsylvania,United States,Monday: 11:30 AM ? 10:00 PM|Tuesday: 11:30 AM ? 10:00 PM|Wednesday: 11:30 AM ? 10:00 PM|Thursday: 11:30 AM ? 10:00 PM|Friday: 11:30 AM ? 11:00 PM|Saturday: 11:00 AM ? 11:00 PM|Sunday: 11:00 AM ? 10:00 PM,1,2.8,78,55,32
The Bourbon Barrel,42.123122,-80.0804767,http://www.bourbonbarrelerie.com/,restaurant|food,american restaurant|American|western food,"[""info@bourbonbarrelerie.com""]",Erie,+1 814-452-3000,"1213 State St, Erie, PA 16501, USA",Pennsylvania,United States,Monday: Closed|Tuesday: Closed|Wednesday: 5:00 PM ? 12:00 AM|Thursday: 5:00 PM ? 2:00 AM|Friday: 5:00 PM ? 2:00 AM|Saturday: 5:00 PM ? 2:00 AM|Sunday: Closed,1,3.5,47,90,80
Dunkin' Donuts,40.0486618,-75.4144866,https://www.dunkindonuts.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=338381,bakery|cafe|restaurant|food|store,donut shop|bagel shop|baked goods store|bakeries and patisseries|bakery|breakfast restaurant|coffe container|coffee|coffee shop|espresso bar|fast food container|fast food restaurant|Fast Food|food products|pastry shop|sandwich shop|Sandwich|sweets|tea and coffee merchant,[],Devon,+1 610-688-8554,"891 W Lancaster Ave, Devon, PA 19333, USA",Pennsylvania,United States,Monday: 5:00 AM ? 9:00 PM|Tuesday: 5:00 AM ? 9:00 PM|Wednesday: 5:00 AM ? 9:00 PM|Thursday: 5:00 AM ? 9:00 PM|Friday: 5:00 AM ? 9:00 PM|Saturday: 5:00 AM ? 8:00 PM|Sunday: 5:00 AM ? 9:00 PM,1,3.3,68,23,40
Dairy Queen Store,41.2621969,-95.8969,http://www.dairyqueen.com/,restaurant|food,fast food restaurant|Fast Food|fast food container,[],Council Bluffs,+1 712-322-3424,"3210 W Broadway, Council Bluffs, IA 51501, USA",Iowa,United States,Monday: 10:30 AM ? 8:00 PM|Tuesday: 10:30 AM ? 8:00 PM|Wednesday: 10:30 AM ? 8:00 PM|Thursday: 10:30 AM ? 8:00 PM|Friday: 10:30 AM ? 8:00 PM|Saturday: 10:30 AM ? 8:00 PM|Sunday: 10:30 AM ? 8:00 PM,1,2.7,48,89,40
The Brown Bottle,42.493975,-92.338627,http://www.brownbottlewaterloo.com/,restaurant|food,italian restaurant|Italian|restaurant|western food,"[""waterloobrownbottle@gmail.com""]",Waterloo,+1 319-232-3014,"209 W 5th St, Waterloo, IA 50701, USA",Iowa,United States,Monday: 4:00 ? 9:00 PM|Tuesday: 4:00 ? 9:00 PM|Wednesday: 4:00 ? 9:00 PM|Thursday: 4:00 ? 9:00 PM|Friday: 4:00 ? 10:00 PM|Saturday: 4:00 ? 10:00 PM|Sunday: 4:00 ? 9:00 PM,2,4.1,88,72,85
The Prairie Soup Company,41.975598,-91.6658507,http://www.prairiesoup.com/,cafe|meal takeaway|restaurant|food|store,soup restaurant|Soup|cafe|coffe container|coffee|coffee shop|fast food container|fast food restaurant|Fast Food|meal takeaway|restaurant|sandwich shop|Sandwich|tea and coffee merchant,"[""catering@prairiesoup.com"", ""info@prairiesoup.com""]",Cedar Rapids,+1 319-362-0972,"425 2nd St SE, Cedar Rapids, IA 52401, USA",Iowa,United States,Monday: 7:00 AM ? 4:00 PM|Tuesday: 7:00 AM ? 4:00 PM|Wednesday: 7:00 AM ? 4:00 PM|Thursday: 7:00 AM ? 4:00 PM|Friday: 7:00 AM ? 4:00 PM|Saturday: Closed|Sunday: Closed,2,4.4,67,83,21
P's Pizza House,42.9984768,-96.0472491,http://www.pspizzahouse.com/,restaurant|food,pizza restaurant|Pizza|fast food container|pizzas|western food,"[""info@pspizzahouse.com""]",Orange City,+1 712-737-9077,"723 8th St SE, Orange City, IA 51041, USA",Iowa,United States,Monday: 3:00 PM ? 12:00 AM|Tuesday: 3:00 PM ? 12:00 AM|Wednesday: 3:00 PM ? 12:00 AM|Thursday: 3:00 PM ? 12:00 AM|Friday: 11:00 AM ? 1:00 AM|Saturday: 11:00 AM ? 1:00 AM|Sunday: Closed,3,3.9,86,63,61
DQ Grill & Chill Restaurant,41.6720585,-93.6981798,http://www.dairyqueen.com/,restaurant|food,fast food restaurant|Fast Food|fast food container,[], wait,+1 515-278-5904,"6150 Merle Hay Rd, Johnston, IA 50131, USA", but the Chicken in that sandwich is frozen as it was not pulled out earlier.  WHILE the guy is yel, did not repeat my total and still did not ask me for my drink request.  I wait,Monday: 10:30 AM ? 10:00 PM|Tuesday: 10:30 AM ? 10:00 PM|Wednesday: 10:30 AM ? 10:00 PM|Thursday: 10:30 AM ? 10:00 PM|Friday: 10:30 AM ? 10:30 PM|Saturday: 10:30 AM ? 10:30 PM|Sunday: 10:30 AM ? 10:00 PM,1,1.6,78,15,53
Tasty Tacos Inc,41.5333116,-93.5962425,http://www.tastytacos.com/,restaurant|food,restaurant|ethnic foods|fast food container|fast food restaurant|Fast Food|mexican restaurant|Mexican|western food,[],Des Moines,+1 515-285-1946,"5847 SE 14th St, Des Moines, IA 50320, USA",Iowa,United States,Monday: 11:00 AM ? 10:00 PM|Tuesday: 11:00 AM ? 10:00 PM|Wednesday: 11:00 AM ? 10:00 PM|Thursday: 11:00 AM ? 10:00 PM|Friday: 11:00 AM ? 10:00 PM|Saturday: 11:00 AM ? 10:00 PM|Sunday: Closed,1,4.4,13,53,90
Pilot Travel Center,41.6441541,-91.1496305,https://www.pilotflyingj.com/stores/0496,convenience store|gas station|restaurant|food|store,convenience store|energy|fast food container|fast food restaurant|Fast Food|fuel station|fuels|gas station,"[""realestate@pilottravelcenters.com"", ""sales@pilottravelcenters.com"", ""myRewards@PilotFlyingJ.com"", ""MyRewards@PilotFlyingJ.com""]",Atalissa,+1 563-946-3761,"2086 Atalissa Rd, Atalissa, IA 52720, USA",Iowa,United States,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,3,3.4,64,63,63
Food for Thought Caf?,41.6595114,-91.5384616,https://dining.uiowa.edu/locations/food-thought-caf%C3%A9,cafe|convenience store|meal takeaway|restaurant|food|store,cafe|coffe container|coffee|coffee shop|convenience store|espresso bar|food service|meal takeaway|tea and coffee merchant,"[""dining@uiowa.edu""]",Iowa City,+1 319-335-6170,"125 W Washington St, Iowa City, IA 52242, USA",Iowa,United States,Monday: 7:30 AM ? 11:00 PM|Tuesday: 7:30 AM ? 11:00 PM|Wednesday: 7:30 AM ? 11:00 PM|Thursday: 7:30 AM ? 11:00 PM|Friday: 7:00 AM ? 4:00 PM|Saturday: Closed|Sunday: 4:00 ? 11:00 PM,2,2.5,42,60,56
Quiznos,42.4721642,-91.1149111,http://restaurants.quiznos.com/ia/dyersville/hwy1369thstreet-52040,restaurant|food|store,sandwich shop|Sandwich|business service|catering service|deli|fast food container|fast food restaurant|Fast Food|food products|party service|restaurant,"[""example@example.com""]",Dyersville,+1 563-875-2434,"1426 9th St SE, Dyersville, IA 52040, USA",Iowa,United States,Monday: 10:00 AM ? 9:00 PM|Tuesday: 10:00 AM ? 9:00 PM|Wednesday: 10:00 AM ? 9:00 PM|Thursday: 10:00 AM ? 9:00 PM|Friday: 10:00 AM ? 9:00 PM|Saturday: 10:00 AM ? 9:00 PM|Sunday: 11:00 AM ? 8:00 PM,1,4.6,24,81,29
Hardee's,41.9621504,-91.6767298,http://www.hardees.com/,restaurant|food,fast food restaurant|Fast Food|fast food container|hamburger restaurant|Hamburger|restaurant|western food,"[""support@superstarrewards.com""]",Cedar Rapids,+1 319-363-7710,"1519 6th St SW, Cedar Rapids, IA 52404, USA",Iowa,United States,Monday: 5:30 AM ? 11:00 PM|Tuesday: 5:30 AM ? 11:00 PM|Wednesday: 5:30 AM ? 11:00 PM|Thursday: 5:30 AM ? 11:00 PM|Friday: 6:00 AM ? 12:00 AM|Saturday: 6:00 AM ? 12:00 AM|Sunday: 7:00 AM ? 11:00 PM,1,3.3,39,78,13
Arby's,41.6491141,-93.7379372,http://www.drmarbys.com/,restaurant|food,fast food restaurant|Fast Food|american restaurant|American|family restaurant|fast food container|sandwich shop|Sandwich|western food,[],Urbandale,+1 515-334-9010,"4920 86th St, Urbandale, IA 50322, USA",Iowa,United States,Monday: 10:00 AM ? 10:00 PM|Tuesday: 10:00 AM ? 10:00 PM|Wednesday: 10:00 AM ? 10:00 PM|Thursday: 10:00 AM ? 10:00 PM|Friday: 10:00 AM ? 10:00 PM|Saturday: 10:00 AM ? 10:00 PM|Sunday: 10:00 AM ? 10:00 PM,2,4,43,61,71
Maid-Rite DMACC,41.7054265,-93.6085546,http://www.maid-rite.com/,restaurant|food,restaurant,[],Ankeny,+1 515-964-7951,"2006 S Ankeny Blvd, Bldg 5 Student Center, Ankeny, IA 50023, USA",Iowa,United States,Monday: 10:00 AM ? 7:00 PM|Tuesday: 10:00 AM ? 7:00 PM|Wednesday: 10:00 AM ? 7:00 PM|Thursday: 10:00 AM ? 7:00 PM|Friday: 10:00 AM ? 4:00 PM|Saturday: Closed|Sunday: Closed,1,2,43,10,35
Lally's Eastside Restaurant,42.7932097,-96.1638937,http://lallyschickenandribs.com/,restaurant|food,restaurant,[],Le Mars,+1 712-546-4406,"125 Plymouth Street NE, Le Mars, IA 51031, USA",Iowa,United States,Monday: 10:00 AM ? 8:00 PM|Tuesday: 10:00 AM ? 8:00 PM|Wednesday: 10:00 AM ? 8:00 PM|Thursday: 10:00 AM ? 8:00 PM|Friday: 10:00 AM ? 8:00 PM|Saturday: 10:00 AM ? 8:00 PM|Sunday: 10:00 AM ? 8:00 PM,1,4.2,66,48,73
Mineral City Mill & Grill,42.500827,-94.160932,http://www.mineralcitymillandgrill.com/,bar|restaurant|food,american restaurant|American|bars and pubs|new us american restaurant|sports bar|western food,[],Fort Dodge,+1 515-955-8514,"2621 5th Ave S, Fort Dodge, IA 50501, USA",Iowa,United States,Monday: 11:00 AM ? 10:00 PM|Tuesday: 11:00 AM ? 10:00 PM|Wednesday: 11:00 AM ? 10:00 PM|Thursday: 11:00 AM ? 10:00 PM|Friday: 11:00 AM ? 10:00 PM|Saturday: 11:00 AM ? 10:00 PM|Sunday: 10:00 AM ? 9:00 PM,1,4.4,18,44,33
McDonald's,45.5680229,-94.3010604,http://www.mcdonalds.com/,cafe|restaurant|food|store,fast food restaurant|Fast Food|breakfast restaurant|coffe container|coffee|coffee shop|fast food container|hamburger restaurant|Hamburger|ice cream shop|restaurant|salad shop|Salad|sandwich shop|Sandwich|sweets|tea and coffee merchant|western food,[],Saint Joseph,+1 320-363-4223,"1180 Elm St E, St Joseph, MN 56374, USA",Minnesota,United States,Monday: 5:00 AM ? 11:00 PM|Tuesday: 5:00 AM ? 11:00 PM|Wednesday: 5:00 AM ? 11:00 PM|Thursday: 5:00 AM ? 11:00 PM|Friday: 5:00 AM ? 1:00 AM|Saturday: 5:00 AM ? 1:00 AM|Sunday: 6:00 AM ? 11:00 PM,1,2.8,75,74,30
Kings Wine Bar,44.9197609,-93.2841719,http://www.kingsmpls.com/,bar|restaurant|food,asian fusion restaurant|bars and pubs|chinese food|dim sum restaurant|Dim Sum|ethnic foods|korean food|pho restaurant|Pho|restaurant|tea|vietnamese restaurant|Vietnamese|wine|wine bar,[],Minneapolis,+1 612-354-7928,"4555 Grand Ave S, Minneapolis, MN 55419, USA",Minnesota,United States,Monday: 4:00 ? 10:00 PM|Tuesday: 4:00 ? 10:00 PM|Wednesday: 4:00 ? 10:00 PM|Thursday: 4:00 ? 10:00 PM|Friday: 4:00 ? 11:00 PM|Saturday: 4:00 ? 11:00 PM|Sunday: 4:00 ? 9:00 PM,2,3.9,15,84,41
Holiday Stationstores,45.2873796,-93.2334224,http://www.holidaystationstores.com/locations/store/223/Ham%20Lake%20MN?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=223,convenience store|gas station|atm|cafe|restaurant|food|finance|store,convenience store|atm|breakfast restaurant|coffe container|coffee|coffee shop|coffee store|energy|fast food container|fuel station|fuels|gas station|places of interest|sandwich shop|Sandwich|tea and coffee merchant,"[""webmaster@holidaystationstores.com""]",Ham Lake,+1 763-434-4699,"1442 Crosstown Blvd NE, Ham Lake, MN 55304, USA",Minnesota,United States,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,3,4.7,69,80,34
Holiday Stationstores,45.1848598,-93.3137852,http://www.holidaystationstores.com/locations/store/3514/Coon%20Rapids%20MN?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=3514,convenience store|gas station|atm|cafe|restaurant|food|finance|store,convenience store|atm|breakfast restaurant|coffe container|coffee|coffee shop|coffee store|energy|fast food container|fuel station|fuels|gas station|places of interest|sandwich shop|Sandwich|tea and coffee merchant,"[""webmaster@holidaystationstores.com""]",Coon Rapids,+1 763-208-1380,"1855 Gateway Dr NW, Coon Rapids, MN 55448, USA",Minnesota,United States,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,2,3.9,86,44,36
Stephano's Italian Cuisine,44.790969,-93.24392,http://www.stephanosbistro.net/,restaurant|food,italian restaurant|Italian|business service|catering service|party service|western food,"[""kozyrevmain@gmail.com""]",Burnsville,+1 952-895-1639,"11849 Millpond Ave, Burnsville, MN 55337, USA",Minnesota,United States,,2,3.8,71,28,32
Gyro's Grill,44.836665,-93.249437,http://www.ordergyrosgrill.com/,meal takeaway|restaurant|food,greek restaurant|Greek|fast food container|mediterranean restaurant|Mediterranean|pizza restaurant|Pizza|pizzas|pizzatakeaway|western food,[],Bloomington,+1 952-888-2121,"1710 E Old Shakopee Rd, Bloomington, MN 55425, USA",Minnesota,United States,Monday: 10:30 AM ? 6:00 PM|Tuesday: 10:30 AM ? 8:00 PM|Wednesday: 10:30 AM ? 8:00 PM|Thursday: 10:30 AM ? 8:00 PM|Friday: 10:30 AM ? 8:00 PM|Saturday: 10:30 AM ? 6:00 PM|Sunday: 10:30 AM ? 6:00 PM,2,4.4,17,79,80
Suzie's Kitchen,44.7311212,-93.144919,http://suzieskitchenrosemount.com/,restaurant|food,restaurant|american restaurant|American|western food,[],Rosemount,+1 651-322-8393,"15023 Crestone Ave, Rosemount, MN 55068, USA",Minnesota,United States,Monday: 6:00 AM ? 2:00 PM|Tuesday: 6:00 AM ? 2:00 PM|Wednesday: 6:00 AM ? 2:00 PM|Thursday: 6:00 AM ? 2:00 PM|Friday: 6:00 AM ? 2:00 PM|Saturday: 6:00 AM ? 2:00 PM|Sunday: 6:00 AM ? 2:00 PM,1,3.9,43,12,24
Uncle Louis Cafe,46.7947627,-92.0953946,http://www.unclelouiscafe.com/,cafe|restaurant|food,american restaurant|American|cafe|coffee|restaurant|western food,"[""ULC@UNCLELOUISCAFE.COM""]",Duluth,+1 218-727-4518,"520 E 4th St, Duluth, MN 55805, USA",Minnesota,United States,Monday: 6:00 AM ? 2:45 PM|Tuesday: 6:00 AM ? 2:45 PM|Wednesday: 6:00 AM ? 2:45 PM|Thursday: 6:00 AM ? 2:45 PM|Friday: 6:00 AM ? 2:45 PM|Saturday: 7:00 AM ? 2:45 PM|Sunday: 7:00 AM ? 2:45 PM,2,4.6,11,16,67
Shang Hai Wok,44.9773954,-93.2739938,https://m.facebook.com/pages/Shanghai-Wok/113523575349176,restaurant|food,chinese restaurant|Chinese|chinese food|ethnic foods,[],Minneapolis,+1 612-333-7798,"27 S 7th St #1, Minneapolis, MN 55402, USA",Minnesota,United States,Monday: 11:00 AM ? 8:00 PM|Tuesday: 11:00 AM ? 8:00 PM|Wednesday: 11:00 AM ? 8:00 PM|Thursday: 11:00 AM ? 8:00 PM|Friday: 11:00 AM ? 8:00 PM|Saturday: Closed|Sunday: Closed,1,4.3,67,61,83
TOMO HIBACHI&SUSHI,45.511269,-92.998008,http://tomonorthbranch.com/default.aspx,restaurant|food,restaurant,[],North Branch,+1 651-237-0888,"5466 St Croix Trail, North Branch, MN 55056, USA",Minnesota,United States,Monday: 11:00 AM ? 10:00 PM|Tuesday: 11:00 AM ? 10:00 PM|Wednesday: 11:00 AM ? 10:00 PM|Thursday: 11:00 AM ? 10:00 PM|Friday: 11:00 AM ? 10:00 PM|Saturday: 11:00 AM ? 10:00 PM|Sunday: 11:00 AM ? 9:30 PM,1,4.7,84,19,85
McDonald's,45.178923,-93.8714951,http://www.mcdonalds.com/,cafe|restaurant|food|store,fast food restaurant|Fast Food|breakfast restaurant|coffe container|coffee|coffee shop|fast food container|hamburger restaurant|Hamburger|ice cream shop|restaurant|salad shop|Salad|sandwich shop|Sandwich|sweets|tea and coffee merchant|western food,[],Buffalo,+1 763-682-5167,"303 7th St NE, Buffalo, MN 55313, USA",Minnesota,United States,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,1,3.1,53,35,32
Downtowner Woodfire Grill,44.9429695,-93.1052042,http://www.downtownerwoodfire.com/,restaurant|food,persian restaurant|Persian|american restaurant|American|restaurant|western food,"[""moe@downtownerwoodfire.com""]",Saint Paul,+1 651-228-9500,"253 7th St W, St Paul, MN 55102, USA",Minnesota,United States,Monday: 7:00 AM ? 10:00 PM|Tuesday: 7:00 AM ? 10:00 PM|Wednesday: 7:00 AM ? 10:00 PM|Thursday: 7:00 AM ? 10:00 PM|Friday: 7:00 AM ? 11:00 PM|Saturday: 7:00 AM ? 11:00 PM|Sunday: 8:00 AM ? 9:00 PM,2,4.2,75,76,86
Pat's Tap,44.9392109,-93.2781754,http://www.patstap.com/,bar|restaurant|food,gastropub|asian fusion restaurant|bars and pubs|restaurant,"[""askus@patstap.com""]",Minneapolis,+1 612-822-8216,"3510 Nicollet Ave, Minneapolis, MN 55408, USA",Minnesota,United States,Monday: 11:00 AM ? 2:00 AM|Tuesday: 11:00 AM ? 2:00 AM|Wednesday: 11:00 AM ? 2:00 AM|Thursday: 11:00 AM ? 2:00 AM|Friday: 11:00 AM ? 2:00 AM|Saturday: 9:00 AM ? 2:00 AM|Sunday: 9:00 AM ? 2:00 AM,1,4.2,42,45,54
